transaction_id,date,product_sku,product_name,category,brand,store_id,store_name,region,channel,quantity,unit_price,sales_amount,cost_amount,discount_percent
TXN1000,2023-01-19,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Web,3,1299.99,3314.97,2940.0,15
TXN1001,2024-03-09,IP-14-128,iPhone 14 128GB,Électronique,Apple,PAR01,Paris Centre,Île-de-France,Web,3,989.99,2821.47,2250.0,5
TXN1002,2023-08-02,IP-14-128,iPhone 14 128GB,Électronique,Apple,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Mobile,1,989.99,989.99,750.0,0
TXN1003,2023-04-27,SM-G990,Smartphone Galaxy,Électronique,Samsung,PAR01,Paris Centre,Île-de-France,Web,1,899.99,899.99,650.0,0
TXN1004,2023-08-22,SM-G990,Smartphone Galaxy,Électronique,Samsung,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Web,2,899.99,1619.98,1300.0,10
TXN1005,2023-02-12,IP-14-128,iPhone 14 128GB,Électronique,Apple,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Mobile,3,989.99,2821.47,2250.0,5
TXN1006,2024-03-12,IP-14-128,iPhone 14 128GB,Électronique,Apple,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Magasin,2,989.99,1979.98,1500.0,0
TXN1007,2023-11-19,SM-G990,Smartphone Galaxy,Électronique,Samsung,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Magasin,3,899.99,2699.97,1950.0,0
TXN1008,2023-11-14,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Web,1,699.99,664.99,520.0,5
TXN1009,2024-03-14,TAB-S7,Tablette S7,Électronique,Samsung,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Web,2,499.99,849.98,760.0,15
TXN1010,2024-05-09,TAB-S7,Tablette S7,Électronique,Samsung,PAR01,Paris Centre,Île-de-France,Magasin,2,499.99,999.98,760.0,0
TXN1011,2023-05-13,LAP-DEL-XPS,Laptop Dell XPS,Informatique,Dell,PAR01,Paris Centre,Île-de-France,Web,1,1299.99,1104.99,980.0,15
TXN1012,2023-05-29,IP-14-128,iPhone 14 128GB,Électronique,Apple,LYO01,Lyon Part-Dieu,Auvergne-Rhône-Alpes,Mobile,3,989.99,2969.97,2250.0,0
TXN1013,2024-05-15,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,PAR01,Paris Centre,Île-de-France,Web,2,699.99,1399.98,1040.0,0
TXN1014,2024-01-22,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,PAR01,Paris Centre,Île-de-France,Mobile,3,699.99,1889.97,1560.0,10
TXN1015,2024-06-19,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,PAR01,Paris Centre,Île-de-France,Web,1,699.99,629.99,520.0,10
TXN1016,2024-02-26,IP-14-128,iPhone 14 128GB,Électronique,Apple,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Web,3,989.99,2969.97,2250.0,0
TXN1017,2023-03-16,IP-14-128,iPhone 14 128GB,Électronique,Apple,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Mobile,3,989.99,2821.47,2250.0,5
TXN1018,2023-09-28,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,BOR01,Bordeaux Centre,Nouvelle-Aquitaine,Mobile,2,699.99,1399.98,1040.0,0
TXN1019,2023-03-26,TV-LG-55,"TV LG 55"" 4K",Électronique,LG,MAR01,Marseille Vieux Port,Provence-Alpes-Côte d'Azur,Magasin,1,699.99,664.99,520.0,5
